#Bins: Q^{2}[1.000-1.000],  x_{Bj}[0.001-0.002]
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.004-0.004]
 65 0.000000 10000
#Bins: Q^{2}[2.000-1.000],  x_{Bj}[0.004-0.004]
 66 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.004-0.004]
 67 0.000000 10000
#Bins: Q^{2}[2.000-3.000],  x_{Bj}[0.004-0.004]
 68 0.000000 10000
#Bins: Q^{2}[3.000-4.000],  x_{Bj}[0.004-0.004]
 69 0.000000 10000
#Bins: Q^{2}[4.000-1.500],  x_{Bj}[0.004-0.004]
 70 0.000000 10000
#Bins: Q^{2}[1.500-3.000],  x_{Bj}[0.004-0.004]
 71 0.000000 10000
#Bins: Q^{2}[3.000-4.500],  x_{Bj}[0.004-0.004]
 72 0.000000 10000
#Bins: Q^{2}[4.500-6.000],  x_{Bj}[0.004-0.004]
 73 0.000000 10000
#Bins: Q^{2}[6.000-1.000],  x_{Bj}[0.004-0.004]
 74 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.004-0.004]
 75 0.000000 10000
#Bins: Q^{2}[2.000-4.000],  x_{Bj}[0.004-0.004]
 76 0.000000 10000
#Bins: Q^{2}[4.000-6.000],  x_{Bj}[0.004-0.004]
 77 0.000000 10000
#Bins: Q^{2}[6.000-8.000],  x_{Bj}[0.004-0.004]
 78 0.000000 10000
#Bins: Q^{2}[8.000-10.000],  x_{Bj}[0.004-0.004]
 79 0.000000 10000
#Bins: Q^{2}[1.000-1.000],  x_{Bj}[0.004-0.004]
 80 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.004-0.004]
 81 0.000000 10000
#Bins: Q^{2}[2.000-1.000],  x_{Bj}[0.004-0.004]
 82 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.004-0.004]
 83 0.000000 10000
#Bins: Q^{2}[2.000-3.000],  x_{Bj}[0.004-0.004]
 84 0.000000 10000
#Bins: Q^{2}[3.000-4.000],  x_{Bj}[0.004-0.004]
 85 0.000000 10000
#Bins: Q^{2}[4.000-1.500],  x_{Bj}[0.004-0.004]
 86 0.000000 10000
#Bins: Q^{2}[1.500-3.000],  x_{Bj}[0.004-0.004]
 87 0.000000 10000
#Bins: Q^{2}[3.000-4.500],  x_{Bj}[0.004-0.004]
 88 0.000000 10000
#Bins: Q^{2}[4.500-6.000],  x_{Bj}[0.004-0.004]
