,,Q2,y bin,Yield (100 fb^-1),xL,xpi
15,0.001,"[14.866332687903196, 14.78512193984352]","[0.2529383503178041, 0.949322528091935]","[243255.76180821765, 310055.76407204213]","[0.9044966631237622, 0.8729173279812728]","[0.010971303415747554, 0.005227635934609683]"
15,0.01,"[14.81551167787984, 14.881595930317417]","[0.13778425771982894, 0.9498112045386926]","[223766.99998914645, 310195.68335042003]","[0.9591487318088292, 0.9964032373039861]","[0.019966901896130124, 0.014004193726822576]"
30,0.01,"[29.639912026235834, 29.54495816747658]","[0.2815299942843698, 0.949719572653675]","[237664.0044692017, 300228.19615267933]","[0.8196954416956176, 0.948263205254978]","[0.01972871082442434, 0.011122764116669685]"
60,0.01,"[59.62621402996592, 59.54734006035142]","[0.5703429145494907, 0.9499735769366726]","[249516.61328828926, 277789.63509787526]","[0.8197170579898, 0.9974095846314951]","[0.01949134485451516, 0.01838802257922572]"
